ID,NAME,MUNICIPALITY,DISTRICT,CANTON,COUNTRY
1960,Sagogn,Sagogn,Region Surselva,GR,CH
1961,Schluein,Schluein,Region Surselva,GR,CH
1962,St. Martin (Lugnez),Vals,Region Surselva,GR,CH
1963,Vals,Vals,Region Surselva,GR,CH
1964,Peiden,Lumnezia,Region Surselva,GR,CH
1965,Camuns,Lumnezia,Region Surselva,GR,CH
1966,Uors (Lumnezia),Lumnezia,Region Surselva,GR,CH
1967,Surcasti,Lumnezia,Region Surselva,GR,CH
1968,Tersnaus,Lumnezia,Region Surselva,GR,CH
1969,Cumbel,Lumnezia,Region Surselva,GR,CH
1970,Morissen,Lumnezia,Region Surselva,GR,CH
1971,Vella,Lumnezia,Region Surselva,GR,CH
1972,Degen,Lumnezia,Region Surselva,GR,CH
1973,Vattiz,Lumnezia,Region Surselva,GR,CH
1974,Vignogn,Lumnezia,Region Surselva,GR,CH
1975,Lumbrein,Lumnezia,Region Surselva,GR,CH
1976,Vrin,Lumnezia,Region Surselva,GR,CH
1977,Pitasch,Ilanz/Glion,Region Surselva,GR,CH
1978,Duvin,Ilanz/Glion,Region Surselva,GR,CH
1979,Castrisch,Ilanz/Glion,Region Surselva,GR,CH
1980,Sevgein,Ilanz/Glion,Region Surselva,GR,CH
1981,Riein,Ilanz/Glion,Region Surselva,GR,CH
1982,Ilanz,Ilanz/Glion,Region Surselva,GR,CH
1983,Schnaus,Ilanz/Glion,Region Surselva,GR,CH
1984,Luven,Ilanz/Glion,Region Surselva,GR,CH
1985,Ruschein,Ilanz/Glion,Region Surselva,GR,CH
1986,Ladir,Ilanz/Glion,Region Surselva,GR,CH
1987,Rueun,Ilanz/Glion,Region Surselva,GR,CH
1988,Pigniu,Ilanz/Glion,Region Surselva,GR,CH
1989,Siat,Ilanz/Glion,Region Surselva,GR,CH
1990,Fürstenaubruck,Fürstenau,Region Viamala,GR,CH
1991,Fürstenau,Fürstenau,Region Viamala,GR,CH
1992,Rothenbrunnen,Rothenbrunnen,Region Viamala,GR,CH
1993,Scharans,Scharans,Region Viamala,GR,CH
1994,Sils im Domleschg,Sils im Domleschg,Region Viamala,GR,CH
1995,Cazis,Cazis,Region Viamala,GR,CH
1996,Summaprada,Cazis,Region Viamala,GR,CH
1997,Tartar,Cazis,Region Viamala,GR,CH
1998,Sarn,Cazis,Region Viamala,GR,CH
1999,Portein,Cazis,Region Viamala,GR,CH
2000,Präz,Cazis,Region Viamala,GR,CH
2001,Dalin,Cazis,Region Viamala,GR,CH
2002,Flerden,Flerden,Region Viamala,GR,CH
2003,Masein,Masein,Region Viamala,GR,CH
2004,Thusis,Thusis,Region Viamala,GR,CH
2005,Mutten,Thusis,Region Viamala,GR,CH
2006,Obermutten,Thusis,Region Viamala,GR,CH
2007,Tschappina,Tschappina,Region Viamala,GR,CH
2008,Urmein,Urmein,Region Viamala,GR,CH
2009,Versam,Safiental,Region Surselva,GR,CH
2010,Tenna,Safiental,Region Surselva,GR,CH
2011,Safien Platz,Safiental,Region Surselva,GR,CH
2012,Thalkirch,Safiental,Region Surselva,GR,CH
2013,Valendas,Safiental,Region Surselva,GR,CH
2014,Feldis/Veulden,Domleschg,Region Viamala,GR,CH
2015,Trans,Domleschg,Region Viamala,GR,CH
2016,Rodels,Domleschg,Region Viamala,GR,CH
2017,Pratval,Domleschg,Region Viamala,GR,CH
2018,Almens,Domleschg,Region Viamala,GR,CH
2019,Paspels,Domleschg,Region Viamala,GR,CH
2020,Tumegl/Tomils,Domleschg,Region Viamala,GR,CH
2021,Scheid,Domleschg,Region Viamala,GR,CH
2022,Campsut-Cröt,Avers,Region Viamala,GR,CH
2023,Cresta (Avers),Avers,Region Viamala,GR,CH
2024,Am Bach (Avers),Avers,Region Viamala,GR,CH
2025,Juf,Avers,Region Viamala,GR,CH
2026,Sufers,Sufers,Region Viamala,GR,CH
2027,Andeer,Andeer,Region Viamala,GR,CH
2028,Clugin,Andeer,Region Viamala,GR,CH
2029,Pignia,Andeer,Region Viamala,GR,CH
2030,Rongellen,Rongellen,Region Viamala,GR,CH
2031,Zillis,Zillis-Reischen,Region Viamala,GR,CH
2032,Ausserferrera,Ferrera,Region Viamala,GR,CH
2033,Innerferrera,Ferrera,Region Viamala,GR,CH
2034,Splügen,Rheinwald,Region Viamala,GR,CH
2035,Medels im Rheinwald,Rheinwald,Region Viamala,GR,CH
2036,Nufenen,Rheinwald,Region Viamala,GR,CH
2037,Hinterrhein,Rheinwald,Region Viamala,GR,CH
2038,Donat,Muntogna da Schons,Region Viamala,GR,CH
2039,Lohn GR,Muntogna da Schons,Region Viamala,GR,CH
2040,Mathon,Muntogna da Schons,Region Viamala,GR,CH
2041,Wergenstein,Muntogna da Schons,Region Viamala,GR,CH
2042,Bonaduz,Bonaduz,Region Imboden,GR,CH
2043,Domat/Ems,Domat/Ems,Region Imboden,GR,CH
2044,Rhäzüns,Rhäzüns,Region Imboden,GR,CH
2045,Felsberg,Felsberg,Region Imboden,GR,CH
2046,Flims Dorf,Flims,Region Imboden,GR,CH
2047,Flims Waldhaus,Flims,Region Imboden,GR,CH
2048,Fidaz,Flims,Region Imboden,GR,CH
2049,Tamins,Tamins,Region Imboden,GR,CH
2050,Trin,Trin,Region Imboden,GR,CH
2051,Trin Mulin,Trin,Region Imboden,GR,CH
2052,Brail,Zernez,Region Engiadina Bassa / Val Müstair,GR,CH
2053,Zernez,Zernez,Region Engiadina Bassa / Val Müstair,GR,CH
2054,Susch,Zernez,Region Engiadina Bassa / Val Müstair,GR,CH
2055,Lavin,Zernez,Region Engiadina Bassa / Val Müstair,GR,CH
2056,Samnaun-Compatsch,Samnaun,Region Engiadina Bassa / Val Müstair,GR,CH
2057,Samnaun Dorf,Samnaun,Region Engiadina Bassa / Val Müstair,GR,CH
2058,Guarda,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2059,Ardez,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2060,Scuol,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2061,Ftan,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2062,Vulpera,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2063,Tarasp,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2064,Sent,Scuol,Region Engiadina Bassa / Val Müstair,GR,CH
2065,Ramosch,Valsot,Region Engiadina Bassa / Val Müstair,GR,CH
2066,Vnà,Valsot,Region Engiadina Bassa / Val Müstair,GR,CH
2067,Strada,Valsot,Region Engiadina Bassa / Val Müstair,GR,CH
2068,Tschlin,Valsot,Region Engiadina Bassa / Val Müstair,GR,CH
2069,Martina,Valsot,Region Engiadina Bassa / Val Müstair,GR,CH
2070,Bever,Bever,Region Maloja,GR,CH
2071,Celerina/Schlarigna,Celerina/Schlarigna,Region Maloja,GR,CH
2072,Madulain,Madulain,Region Maloja,GR,CH
2073,Pontresina,Pontresina,Region Maloja,GR,CH
2074,La Punt Chamues-ch,La Punt Chamues-ch,Region Maloja,GR,CH
2075,Samedan,Samedan,Region Maloja,GR,CH
2076,St. Moritz,St. Moritz,Region Maloja,GR,CH
2077,S-chanf,S-chanf,Region Maloja,GR,CH
2078,Cinuos-chel,S-chanf,Region Maloja,GR,CH
2079,Chapella,S-chanf,Region Maloja,GR,CH
2080,Sils/Segl Maria,Sils im Engadin/Segl,Region Maloja,GR,CH
2081,Fex,Sils im Engadin/Segl,Region Maloja,GR,CH
2082,Sils/Segl Baselgia,Sils im Engadin/Segl,Region Maloja,GR,CH
2083,Plaun da Lej,Sils im Engadin/Segl,Region Maloja,GR,CH
2084,Champfèr,Silvaplana,Region Maloja,GR,CH
2085,Silvaplana,Silvaplana,Region Maloja,GR,CH
2086,Silvaplana-Surlej,Silvaplana,Region Maloja,GR,CH
2087,Zuoz,Zuoz,Region Maloja,GR,CH
2088,Maloja,Bregaglia,Region Maloja,GR,CH
2089,Casaccia,Bregaglia,Region Maloja,GR,CH
2090,Vicosoprano,Bregaglia,Region Maloja,GR,CH
2091,Borgonovo,Bregaglia,Region Maloja,GR,CH
2092,Stampa,Bregaglia,Region Maloja,GR,CH
2093,Promontogno,Bregaglia,Region Maloja,GR,CH
2094,Bondo,Bregaglia,Region Maloja,GR,CH
2095,Castasegna,Bregaglia,Region Maloja,GR,CH
2096,Soglio,Bregaglia,Region Maloja,GR,CH
2097,Buseno,Buseno,Region Moesa,GR,CH
2098,Castaneda,Castaneda,Region Moesa,GR,CH
2099,Rossa,Rossa,Region Moesa,GR,CH
2100,Augio,Rossa,Region Moesa,GR,CH
2101,Sta. Domenica,Rossa,Region Moesa,GR,CH
2102,Sta. Maria in Calanca,Santa Maria in Calanca,Region Moesa,GR,CH
2103,Lostallo,Lostallo,Region Moesa,GR,CH
2104,Mesocco,Mesocco,Region Moesa,GR,CH
2105,S. Bernardino,Mesocco,Region Moesa,GR,CH
2106,Soazza,Soazza,Region Moesa,GR,CH
2107,Cama,Cama,Region Moesa,GR,CH
2108,Grono,Grono,Region Moesa,GR,CH
2109,Verdabbio,Grono,Region Moesa,GR,CH
2110,Leggia,Grono,Region Moesa,GR,CH
2111,Roveredo GR,Roveredo (GR),Region Moesa,GR,CH
2112,Laura,Roveredo (GR),Region Moesa,GR,CH
2113,S. Vittore,San Vittore,Region Moesa,GR,CH
2114,Arvigo,Calanca,Region Moesa,GR,CH
2115,Braggio,Calanca,Region Moesa,GR,CH
2116,Selma,Calanca,Region Moesa,GR,CH
2117,Cauco,Calanca,Region Moesa,GR,CH
2118,Tschierv,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2119,Fuldera,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2120,Lü,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2121,Valchava,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2122,Sta. Maria Val Müstair,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2123,Müstair,Val Müstair,Region Engiadina Bassa / Val Müstair,GR,CH
2124,Davos Dorf,Davos,Region Prättigau / Davos,GR,CH
2125,Davos Wolfgang,Davos,Region Prättigau / Davos,GR,CH
2126,Davos Platz,Davos,Region Prättigau / Davos,GR,CH
2127,Davos Clavadel,Davos,Region Prättigau / Davos,GR,CH
2128,Davos Frauenkirch,Davos,Region Prättigau / Davos,GR,CH
2129,Davos Glaris,Davos,Region Prättigau / Davos,GR,CH
2130,Davos Monstein,Davos,Region Prättigau / Davos,GR,CH
2131,Davos Wiesen,Davos,Region Prättigau / Davos,GR,CH
2132,Fideris,Fideris,Region Prättigau / Davos,GR,CH
2133,Furna,Furna,Region Prättigau / Davos,GR,CH
2134,Pragg-Jenaz,Jenaz,Region Prättigau / Davos,GR,CH
2135,Jenaz,Jenaz,Region Prättigau / Davos,GR,CH
2136,Saas im Prättigau,Klosters,Region Prättigau / Davos,GR,CH
2137,Serneus,Klosters,Region Prättigau / Davos,GR,CH
2138,Klosters,Klosters,Region Prättigau / Davos,GR,CH
2139,Klosters Dorf,Klosters,Region Prättigau / Davos,GR,CH
2140,Conters im Prättigau,Conters im Prättigau,Region Prättigau / Davos,GR,CH
2141,Küblis,Küblis,Region Prättigau / Davos,GR,CH
2142,Buchen im Prättigau,Luzein,Region Prättigau / Davos,GR,CH
2143,Putz,Luzein,Region Prättigau / Davos,GR,CH
2144,Luzein,Luzein,Region Prättigau / Davos,GR,CH
2145,Pany,Luzein,Region Prättigau / Davos,GR,CH
2146,Gadenstätt,Luzein,Region Prättigau / Davos,GR,CH
2147,Ascharina,Luzein,Region Prättigau / Davos,GR,CH
2148,St. Antönien,Luzein,Region Prättigau / Davos,GR,CH
2149,Chur,Chur,Region Plessur,GR,CH
2150,Haldenstein,Chur,Region Plessur,GR,CH
2151,Maladers,Chur,Region Plessur,GR,CH
2152,Passugg,Churwalden,Region Plessur,GR,CH
2153,Malix,Churwalden,Region Plessur,GR,CH
2154,Churwalden,Churwalden,Region Plessur,GR,CH
2155,Parpan,Churwalden,Region Plessur,GR,CH
2156,Castiel,Arosa,Region Plessur,GR,CH
2157,Lüen,Arosa,Region Plessur,GR,CH
2158,Calfreisen,Arosa,Region Plessur,GR,CH
2159,St. Peter,Arosa,Region Plessur,GR,CH
2160,Pagig,Arosa,Region Plessur,GR,CH
2161,Peist,Arosa,Region Plessur,GR,CH
2162,Arosa,Arosa,Region Plessur,GR,CH
2163,Molinis,Arosa,Region Plessur,GR,CH
2164,Langwies,Arosa,Region Plessur,GR,CH
2165,Litzirüti,Arosa,Region Plessur,GR,CH
2166,Praden,Tschiertschen-Praden,Region Plessur,GR,CH
2167,Tschiertschen,Tschiertschen-Praden,Region Plessur,GR,CH
2168,Says,Trimmis,Region Landquart,GR,CH
2169,Trimmis,Trimmis,Region Landquart,GR,CH
2170,Untervaz,Untervaz,Region Landquart,GR,CH
2171,Zizers,Zizers,Region Landquart,GR,CH
2172,Fläsch,Fläsch,Region Landquart,GR,CH
2173,Jenins,Jenins,Region Landquart,GR,CH
2174,Maienfeld,Maienfeld,Region Landquart,GR,CH
2175,Malans GR,Malans,Region Landquart,GR,CH
2176,Igis,Landquart,Region Landquart,GR,CH
2177,Landquart,Landquart,Region Landquart,GR,CH
2178,Mastrils,Landquart,Region Landquart,GR,CH
2179,Valzeina,Grüsch,Region Prättigau / Davos,GR,CH
2180,Grüsch,Grüsch,Region Prättigau / Davos,GR,CH
2181,Fanas,Grüsch,Region Prättigau / Davos,GR,CH
2182,Schiers,Schiers,Region Prättigau / Davos,GR,CH
2183,Lunden,Schiers,Region Prättigau / Davos,GR,CH
2184,Stels,Schiers,Region Prättigau / Davos,GR,CH
2185,Fajauna,Schiers,Region Prättigau / Davos,GR,CH
2186,Schuders,Schiers,Region Prättigau / Davos,GR,CH
2187,Pusserein,Schiers,Region Prättigau / Davos,GR,CH
2188,Seewis Dorf,Seewis im Prättigau,Region Prättigau / Davos,GR,CH
2189,Seewis-Pardisla,Seewis im Prättigau,Region Prättigau / Davos,GR,CH
2190,Seewis-Schmitten,Seewis im Prättigau,Region Prättigau / Davos,GR,CH
2191,Waltensburg/Vuorz,Breil/Brigels,Region Surselva,GR,CH
2192,Andiast,Breil/Brigels,Region Surselva,GR,CH
2193,Tavanasa,Breil/Brigels,Region Surselva,GR,CH
2194,Danis,Breil/Brigels,Region Surselva,GR,CH
2195,Dardin,Breil/Brigels,Region Surselva,GR,CH
2196,Breil/Brigels,Breil/Brigels,Region Surselva,GR,CH
2197,Disentis/Mustér,Disentis/Mustér,Region Surselva,GR,CH
2198,Cavardiras,Disentis/Mustér,Region Surselva,GR,CH
2199,Mumpé Medel,Disentis/Mustér,Region Surselva,GR,CH
2200,Segnas,Disentis/Mustér,Region Surselva,GR,CH
2201,Curaglia,Medel (Lucmagn),Region Surselva,GR,CH
2202,Platta,Medel (Lucmagn),Region Surselva,GR,CH
2203,Rabius,Sumvitg,Region Surselva,GR,CH
2204,Surrein,Sumvitg,Region Surselva,GR,CH
2205,S. Benedetg,Sumvitg,Region Surselva,GR,CH
2206,Sumvitg,Sumvitg,Region Surselva,GR,CH
2207,Cumpadials,Sumvitg,Region Surselva,GR,CH
2208,Camischolas,Tujetsch,Region Surselva,GR,CH
2209,Sedrun,Tujetsch,Region Surselva,GR,CH
2210,Rueras,Tujetsch,Region Surselva,GR,CH
2211,Trun,Trun,Region Surselva,GR,CH
2212,Zignau,Trun,Region Surselva,GR,CH
2213,Schlans,Trun,Region Surselva,GR,CH
2214,Obersaxen,Obersaxen Mundaun,Region Surselva,GR,CH
2215,Flond,Obersaxen Mundaun,Region Surselva,GR,CH
2216,Surcuolm,Obersaxen Mundaun,Region Surselva,GR,CH
2217,Aarau,Aarau,Bezirk Aarau,AG,CH
2218,Aarau Rohr,Aarau,Bezirk Aarau,AG,CH
2219,Biberstein,Biberstein,Bezirk Aarau,AG,CH
2220,Buchs AG,Buchs (AG),Bezirk Aarau,AG,CH
2221,Asp,Densbüren,Bezirk Aarau,AG,CH
2222,Densbüren,Densbüren,Bezirk Aarau,AG,CH
2223,Barmelweid,Erlinsbach (AG),Bezirk Aarau,AG,CH
2224,Erlinsbach,Erlinsbach (AG),Bezirk Aarau,AG,CH
2225,Gränichen,Gränichen,Bezirk Aarau,AG,CH
2226,Hirschthal,Hirschthal,Bezirk Aarau,AG,CH
2227,Rombach,Küttigen,Bezirk Aarau,AG,CH
2228,Küttigen,Küttigen,Bezirk Aarau,AG,CH
2229,Muhen,Muhen,Bezirk Aarau,AG,CH
2230,Oberentfelden,Oberentfelden,Bezirk Aarau,AG,CH
2231,Suhr,Suhr,Bezirk Aarau,AG,CH
2232,Unterentfelden,Unterentfelden,Bezirk Aarau,AG,CH
2233,Baden,Baden,Bezirk Baden,AG,CH
2234,Dättwil AG,Baden,Bezirk Baden,AG,CH
2235,Rütihof,Baden,Bezirk Baden,AG,CH
2236,Bellikon,Bellikon,Bezirk Baden,AG,CH
2237,Bergdietikon,Bergdietikon,Bezirk Baden,AG,CH
2238,Birmenstorf AG,Birmenstorf (AG),Bezirk Baden,AG,CH
2239,Ennetbaden,Ennetbaden,Bezirk Baden,AG,CH
2240,Fislisbach,Fislisbach,Bezirk Baden,AG,CH
2241,Freienwil,Freienwil,Bezirk Baden,AG,CH
2242,Gebenstorf,Gebenstorf,Bezirk Baden,AG,CH
2243,Vogelsang AG,Gebenstorf,Bezirk Baden,AG,CH
2244,Killwangen,Killwangen,Bezirk Baden,AG,CH
2245,Künten,Künten,Bezirk Baden,AG,CH
2246,Mägenwil,Mägenwil,Bezirk Baden,AG,CH
2247,Mellingen,Mellingen,Bezirk Baden,AG,CH
2248,Neuenhof,Neuenhof,Bezirk Baden,AG,CH
2249,Niederrohrdorf,Niederrohrdorf,Bezirk Baden,AG,CH
2250,Oberrohrdorf,Oberrohrdorf,Bezirk Baden,AG,CH
2251,Nussbaumen AG,Obersiggenthal,Bezirk Baden,AG,CH
2252,Hertenstein AG,Obersiggenthal,Bezirk Baden,AG,CH
2253,Rieden AG,Obersiggenthal,Bezirk Baden,AG,CH
2254,Kirchdorf AG,Obersiggenthal,Bezirk Baden,AG,CH
2255,Remetschwil,Remetschwil,Bezirk Baden,AG,CH
2256,Spreitenbach,Spreitenbach,Bezirk Baden,AG,CH
2257,Stetten AG,Stetten (AG),Bezirk Baden,AG,CH
2258,Turgi,Turgi,Bezirk Baden,AG,CH
2259,Siggenthal Station,Untersiggenthal,Bezirk Baden,AG,CH
2260,Untersiggenthal,Untersiggenthal,Bezirk Baden,AG,CH
2261,Wettingen,Wettingen,Bezirk Baden,AG,CH
2262,Wohlenschwil,Wohlenschwil,Bezirk Baden,AG,CH
2263,Würenlingen,Würenlingen,Bezirk Baden,AG,CH
2264,Würenlos,Würenlos,Bezirk Baden,AG,CH
2265,Kloster Fahr,Würenlos,Bezirk Baden,AG,CH
2266,Ehrendingen,Ehrendingen,Bezirk Baden,AG,CH
2267,Arni AG,Arni (AG),Bezirk Bremgarten,AG,CH
2268,Berikon,Berikon,Bezirk Bremgarten,AG,CH
2269,Bremgarten AG,Bremgarten (AG),Bezirk Bremgarten,AG,CH
2270,Hermetschwil-Staffeln,Bremgarten (AG),Bezirk Bremgarten,AG,CH
2271,Büttikon AG,Büttikon,Bezirk Bremgarten,AG,CH
2272,Dottikon,Dottikon,Bezirk Bremgarten,AG,CH
2273,Eggenwil,Eggenwil,Bezirk Bremgarten,AG,CH
2274,Fischbach-Göslikon,Fischbach-Göslikon,Bezirk Bremgarten,AG,CH
2275,Hägglingen,Hägglingen,Bezirk Bremgarten,AG,CH
2276,Jonen,Jonen,Bezirk Bremgarten,AG,CH
2277,Niederwil AG,Niederwil (AG),Bezirk Bremgarten,AG,CH
2278,Nesselnbach,Niederwil (AG),Bezirk Bremgarten,AG,CH
2279,Oberlunkhofen,Oberlunkhofen,Bezirk Bremgarten,AG,CH
2280,Oberwil-Lieli,Oberwil-Lieli,Bezirk Bremgarten,AG,CH
2281,Rudolfstetten,Rudolfstetten-Friedlisberg,Bezirk Bremgarten,AG,CH
2282,Sarmenstorf,Sarmenstorf,Bezirk Bremgarten,AG,CH
2283,Tägerig,Tägerig,Bezirk Bremgarten,AG,CH
2284,Uezwil,Uezwil,Bezirk Bremgarten,AG,CH
2285,Unterlunkhofen,Unterlunkhofen,Bezirk Bremgarten,AG,CH
2286,Villmergen,Villmergen,Bezirk Bremgarten,AG,CH
2287,Hilfikon,Villmergen,Bezirk Bremgarten,AG,CH
2288,Widen,Widen,Bezirk Bremgarten,AG,CH
2289,Wohlen AG,Wohlen (AG),Bezirk Bremgarten,AG,CH
2290,Anglikon,Wohlen (AG),Bezirk Bremgarten,AG,CH
2291,Zufikon,Zufikon,Bezirk Bremgarten,AG,CH
2292,Islisberg,Islisberg,Bezirk Bremgarten,AG,CH
2293,Auenstein,Auenstein,Bezirk Brugg,AG,CH
2294,Birr,Birr,Bezirk Brugg,AG,CH
2295,Birrhard,Birrhard,Bezirk Brugg,AG,CH
2296,Bözen,Böztal,Bezirk Laufenburg,AG,CH
2297,Schinznach Bad,Brugg,Bezirk Brugg,AG,CH
2298,Brugg AG,Brugg,Bezirk Brugg,AG,CH
2299,Umiken,Brugg,Bezirk Brugg,AG,CH
2300,Effingen,Böztal,Bezirk Laufenburg,AG,CH
2301,Elfingen,Böztal,Bezirk Laufenburg,AG,CH
2302,Habsburg,Habsburg,Bezirk Brugg,AG,CH
2303,Hausen AG,Hausen (AG),Bezirk Brugg,AG,CH
2304,Lupfig,Lupfig,Bezirk Brugg,AG,CH
2305,Scherz,Lupfig,Bezirk Brugg,AG,CH
2306,Mandach,Mandach,Bezirk Brugg,AG,CH
2307,Mönthal,Mönthal,Bezirk Brugg,AG,CH
2308,Mülligen,Mülligen,Bezirk Brugg,AG,CH
2309,Remigen,Remigen,Bezirk Brugg,AG,CH
2310,Riniken,Riniken,Bezirk Brugg,AG,CH
2311,Rüfenach AG,Rüfenach,Bezirk Brugg,AG,CH
2312,Thalheim AG,Thalheim (AG),Bezirk Brugg,AG,CH
2313,Veltheim AG,Veltheim (AG),Bezirk Brugg,AG,CH
2314,Stilli,Villigen,Bezirk Brugg,AG,CH
2315,Villigen,Villigen,Bezirk Brugg,AG,CH
2316,Villnachern,Villnachern,Bezirk Brugg,AG,CH
2317,Windisch,Windisch,Bezirk Brugg,AG,CH
2318,Bözberg,Bözberg,Bezirk Brugg,AG,CH
2319,Schinznach Dorf,Schinznach,Bezirk Brugg,AG,CH
2320,Oberflachs,Schinznach,Bezirk Brugg,AG,CH
2321,Beinwil am See,Beinwil am See,Bezirk Kulm,AG,CH
2322,Birrwil,Birrwil,Bezirk Kulm,AG,CH
2323,Burg AG,Burg (AG),Bezirk Kulm,AG,CH
2324,Dürrenäsch,Dürrenäsch,Bezirk Kulm,AG,CH
2325,Gontenschwil,Gontenschwil,Bezirk Kulm,AG,CH
2326,Holziken,Holziken,Bezirk Kulm,AG,CH
2327,Leimbach AG,Leimbach (AG),Bezirk Kulm,AG,CH
2328,Leutwil,Leutwil,Bezirk Kulm,AG,CH
2329,Menziken,Menziken,Bezirk Kulm,AG,CH
2330,Oberkulm,Oberkulm,Bezirk Kulm,AG,CH
2331,Reinach AG,Reinach (AG),Bezirk Kulm,AG,CH
2332,Schlossrued,Schlossrued,Bezirk Kulm,AG,CH
2333,Schmiedrued,Schmiedrued,Bezirk Kulm,AG,CH
2334,Walde AG,Schmiedrued,Bezirk Kulm,AG,CH
2335,Schöftland,Schöftland,Bezirk Kulm,AG,CH
2336,Teufenthal AG,Teufenthal (AG),Bezirk Kulm,AG,CH
2337,Unterkulm,Unterkulm,Bezirk Kulm,AG,CH
2338,Zetzwil,Zetzwil,Bezirk Kulm,AG,CH
2339,Eiken,Eiken,Bezirk Laufenburg,AG,CH
2340,Frick,Frick,Bezirk Laufenburg,AG,CH
2341,Gansingen,Gansingen,Bezirk Laufenburg,AG,CH
2342,Gipf-Oberfrick,Gipf-Oberfrick,Bezirk Laufenburg,AG,CH
2343,Herznach,Herznach,Bezirk Laufenburg,AG,CH
2344,Hornussen,Böztal,Bezirk Laufenburg,AG,CH
2345,Kaisten,Kaisten,Bezirk Laufenburg,AG,CH
2346,Ittenthal,Kaisten,Bezirk Laufenburg,AG,CH
2347,Laufenburg,Laufenburg,Bezirk Laufenburg,AG,CH
2348,Rheinsulz,Laufenburg,Bezirk Laufenburg,AG,CH
2349,Sulz AG,Laufenburg,Bezirk Laufenburg,AG,CH
2350,Münchwilen AG,Münchwilen (AG),Bezirk Laufenburg,AG,CH
2351,Oberhof,Oberhof,Bezirk Laufenburg,AG,CH
2352,Oeschgen,Oeschgen,Bezirk Laufenburg,AG,CH
2353,Schwaderloch,Schwaderloch,Bezirk Laufenburg,AG,CH
2354,Sisseln AG,Sisseln,Bezirk Laufenburg,AG,CH
2355,Ueken,Ueken,Bezirk Laufenburg,AG,CH
2356,Wittnau,Wittnau,Bezirk Laufenburg,AG,CH
2357,Wölflinswil,Wölflinswil,Bezirk Laufenburg,AG,CH
2358,Zeihen,Zeihen,Bezirk Laufenburg,AG,CH
2359,Oberhofen AG,Mettauertal,Bezirk Laufenburg,AG,CH
2360,Mettau,Mettauertal,Bezirk Laufenburg,AG,CH
2361,Etzgen,Mettauertal,Bezirk Laufenburg,AG,CH
2362,Wil AG,Mettauertal,Bezirk Laufenburg,AG,CH
2363,Hottwil,Mettauertal,Bezirk Laufenburg,AG,CH
2364,Ammerswil AG,Ammerswil,Bezirk Lenzburg,AG,CH
2365,Boniswil,Boniswil,Bezirk Lenzburg,AG,CH
2366,Brunegg,Brunegg,Bezirk Lenzburg,AG,CH
2367,Dintikon,Dintikon,Bezirk Lenzburg,AG,CH
2368,Egliswil,Egliswil,Bezirk Lenzburg,AG,CH
2369,Fahrwangen,Fahrwangen,Bezirk Lenzburg,AG,CH
2370,Hallwil,Hallwil,Bezirk Lenzburg,AG,CH
2371,Hendschiken,Hendschiken,Bezirk Lenzburg,AG,CH
2372,Holderbank AG,Holderbank (AG),Bezirk Lenzburg,AG,CH
2373,Hunzenschwil,Hunzenschwil,Bezirk Lenzburg,AG,CH
2374,Lenzburg,Lenzburg,Bezirk Lenzburg,AG,CH
2375,Meisterschwanden,Meisterschwanden,Bezirk Lenzburg,AG,CH
2376,Tennwil,Meisterschwanden,Bezirk Lenzburg,AG,CH
2377,Wildegg,Möriken-Wildegg,Bezirk Lenzburg,AG,CH
2378,Möriken AG,Möriken-Wildegg,Bezirk Lenzburg,AG,CH
2379,Niederlenz,Niederlenz,Bezirk Lenzburg,AG,CH
2380,Othmarsingen,Othmarsingen,Bezirk Lenzburg,AG,CH
2381,Rupperswil,Rupperswil,Bezirk Lenzburg,AG,CH
2382,Schafisheim,Schafisheim,Bezirk Lenzburg,AG,CH
2383,Seengen,Seengen,Bezirk Lenzburg,AG,CH
2384,Seon,Seon,Bezirk Lenzburg,AG,CH
2385,Staufen,Staufen,Bezirk Lenzburg,AG,CH
2386,Abtwil AG,Abtwil,Bezirk Muri,AG,CH
2387,Aristau,Aristau,Bezirk Muri,AG,CH
2388,Auw,Auw,Bezirk Muri,AG,CH
2389,Beinwil (Freiamt),Beinwil (Freiamt),Bezirk Muri,AG,CH
2390,Besenbüren,Besenbüren,Bezirk Muri,AG,CH
2391,Bettwil,Bettwil,Bezirk Muri,AG,CH
2392,Boswil,Boswil,Bezirk Muri,AG,CH
2393,Bünzen,Bünzen,Bezirk Muri,AG,CH
2394,Waldhäusern AG,Bünzen,Bezirk Muri,AG,CH
2395,Buttwil,Buttwil,Bezirk Muri,AG,CH
2396,Dietwil,Dietwil,Bezirk Muri,AG,CH
2397,Geltwil,Geltwil,Bezirk Muri,AG,CH
2398,Kallern,Kallern,Bezirk Muri,AG,CH
