"Line number in raw-data/historische_familiennnamen.csv";"Name";"Canton";"Commune";"Reason"
211974;"von Ow";"ZH";"Uetikon am See";"Duplicate entry in historische_familiennamen.csv"
211975;"von Ow";"ZH";"Winterthur";"Duplicate entry in historische_familiennamen.csv"
211976;"von Ow";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211977;"von Ow";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211978;"von Ow";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211979;"von Passavant";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211980;"von Passavant";"UR";"Wassen";"Duplicate entry in historische_familiennamen.csv"
211981;"von Przysiecki";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
211982;"von Quitzow";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211983;"von Radowitz";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211984;"von Reding";"SZ";"Schwyz";"Duplicate entry in historische_familiennamen.csv"
211985;"von Reding Biberegg";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
211986;"von Reding Biberegg";"SO";"Rüttenen";"Duplicate entry in historische_familiennamen.csv"
211987;"von Regel";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211988;"von Rickenbach";"SZ";"Muotathal";"Duplicate entry in historische_familiennamen.csv"
211989;"von Rickenbach";"SZ";"Steinen";"Duplicate entry in historische_familiennamen.csv"
211990;"von Rickenbach";"SZ";"Steinerberg";"Duplicate entry in historische_familiennamen.csv"
211991;"von Rickenbach";"ZH";"Adliswil";"Duplicate entry in historische_familiennamen.csv"
211992;"von Rickenbach";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
211993;"von Riedmatten";"VS";"Münster";"Duplicate entry in historische_familiennamen.csv"
211994;"von Ritter-Zahony";"TI";"Cureggia";"Duplicate entry in historische_familiennamen.csv"
211995;"von Rodt";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
211996;"von Rohr";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
211997;"von Rohr";"SO";"Bellach";"Duplicate entry in historische_familiennamen.csv"
211998;"von Rohr";"SO";"Egerkingen";"Duplicate entry in historische_familiennamen.csv"
211999;"von Rohr";"SO";"Kestenholz";"Duplicate entry in historische_familiennamen.csv"
212000;"von Rohr";"SO";"Olten";"Duplicate entry in historische_familiennamen.csv"
212001;"von Rohr";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
212002;"von Rohr";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212003;"von Roten";"VS";"Raron";"Duplicate entry in historische_familiennamen.csv"
212004;"von Roth";"FR";"Giffers";"Duplicate entry in historische_familiennamen.csv"
212005;"von Roth";"FR";"Plasselb";"Duplicate entry in historische_familiennamen.csv"
212006;"von Roth";"ZH";"Bauma";"Duplicate entry in historische_familiennamen.csv"
212007;"von Rotz";"BS";"Riehen";"Duplicate entry in historische_familiennamen.csv"
212008;"von Rotz";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212009;"von Rotz";"OW";"Alpnach";"Duplicate entry in historische_familiennamen.csv"
212010;"von Rotz";"OW";"Kerns";"Duplicate entry in historische_familiennamen.csv"
212011;"von Rotz";"ZH";"Dübendorf";"Duplicate entry in historische_familiennamen.csv"
212012;"von Rütte";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212013;"von Saldern";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
212014;"von Salis";"AG";"Brunegg";"Duplicate entry in historische_familiennamen.csv"
212015;"von Salis";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212016;"von Salis";"GR";"Bever";"Duplicate entry in historische_familiennamen.csv"
212017;"von Salis-Soglio";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212018;"von Sanden";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212019;"von Scarpatetti";"SH";"Schaffhausen";"Duplicate entry in historische_familiennamen.csv"
212020;"von Schallen";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212021;"von Schallen";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212022;"von Schallen";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212023;"von Schallen";"VS";"Randa";"Duplicate entry in historische_familiennamen.csv"
212024;"von Schallen";"VS";"St. Niklaus";"Duplicate entry in historische_familiennamen.csv"
