Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Urswil;6280;2;Hochdorf;1031;LU;2664801.513;1222416.793;de
Baldegg;6283;0;Hochdorf;1031;LU;2663805.322;1226417.494;de
Hohenrain;6276;0;Hohenrain;1032;LU;2666683.340;1225765.690;de
Kleinwangen;6277;0;Hohenrain;1032;LU;2664867.887;1227462.062;de
Lieli LU;6277;2;Hohenrain;1032;LU;2665162.864;1229109.530;de
Inwil;6034;0;Inwil;1033;LU;2669177.606;1219424.311;de
Rain;6026;0;Rain;1037;LU;2662560.396;1220188.749;de
Römerswil LU;6027;0;Römerswil;1039;LU;2661204.201;1224620.164;de
Herlisberg;6028;0;Römerswil;1039;LU;2659973.578;1227801.564;de
Rothenburg;6023;0;Rothenburg;1040;LU;2663351.341;1216216.595;de
Schongau;6288;0;Schongau;1041;LU;2662720.826;1235685.891;de
Adligenswil;6043;0;Adligenswil;1051;LU;2670369.466;1213699.311;de
Buchrain;6033;0;Buchrain;1052;LU;2668889.076;1216371.466;de
Perlen;6035;0;Buchrain;1052;LU;2669913.708;1218147.813;de
Dierikon;6036;0;Dierikon;1053;LU;2670849.280;1216681.651;de
Ebikon;6030;0;Ebikon;1054;LU;2668466.041;1214923.948;de
Gisikon;6038;0;Gisikon;1055;LU;2672889.031;1220016.869;de
Greppen;6404;0;Greppen;1056;LU;2675324.493;1212084.399;de
Honau;6038;2;Honau;1057;LU;2673406.510;1220660.774;de
St. Niklausen LU;6005;2;Horw;1058;LU;2668558.599;1207980.146;de
Kastanienbaum;6047;0;Horw;1058;LU;2668066.143;1207319.935;de
Horw;6048;0;Horw;1058;LU;2666453.368;1207941.375;de
Kriens;6010;0;Kriens;1059;LU;2663882.314;1209448.936;de
Obernau;6012;0;Kriens;1059;LU;2661930.927;1209333.656;de
Luzern;6003;0;Luzern;1061;LU;2665223.516;1211360.330;de
Luzern;6004;0;Luzern;1061;LU;2665295.073;1212484.826;de
Luzern;6005;0;Luzern;1061;LU;2666622.700;1210180.011;de
Luzern;6006;0;Luzern;1061;LU;2668011.292;1211635.550;de
Luzern;6014;0;Luzern;1061;LU;2661014.610;1212152.019;de
Luzern;6015;0;Luzern;1061;LU;2663751.689;1212860.801;de
Malters;6102;0;Malters;1062;LU;2656608.995;1209702.372;de
Meggen;6045;0;Meggen;1063;LU;2670930.450;1211027.585;de
Meierskappel;6344;0;Meierskappel;1064;LU;2676184.490;1219853.551;de
Root;6037;0;Root;1065;LU;2672323.481;1218575.850;de
Root D4;6039;0;Root;1065;LU;2670960.491;1217469.690;de
Eigenthal;6013;0;Schwarzenberg;1066;LU;2659361.499;1206517.163;de
Schwarzenberg LU;6103;0;Schwarzenberg;1066;LU;2655926.994;1207488.009;de
Udligenswil;6044;0;Udligenswil;1067;LU;2672938.326;1216014.050;de
Vitznau;6354;0;Vitznau;1068;LU;2679473.203;1207120.421;de
Weggis;6353;0;Weggis;1069;LU;2675680.693;1209552.745;de
Rigi Kaltbad;6356;0;Weggis;1069;LU;2678450.755;1210840.000;de
Neudorf;6025;0;Beromünster;1081;LU;2658464.410;1225359.382;de
Beromünster;6215;0;Beromünster;1081;LU;2657163.744;1228728.032;de
Schwarzenbach LU;6215;2;Beromünster;1081;LU;2658604.229;1231727.854;de
Gunzwil;6222;0;Beromünster;1081;LU;2656137.344;1229186.547;de
Büron;6233;0;Büron;1082;LU;2649414.614;1229516.594;de
Buttisholz;6018;0;Buttisholz;1083;LU;2649781.615;1218415.328;de
Eich;6205;0;Eich;1084;LU;2655432.679;1222705.191;de
Geuensee;6232;0;Geuensee;1085;LU;2651099.239;1227932.229;de
Grosswangen;6022;0;Grosswangen;1086;LU;2646386.434;1220437.530;de
Hildisrieden;6024;0;Hildisrieden;1088;LU;2660275.698;1222430.209;de
St. Erhard;6212;0;Knutwil;1089;LU;2648175.475;1225942.275;de
Knutwil;6213;0;Knutwil;1089;LU;2648050.541;1228046.273;de
Kaltbach;6212;2;Mauensee;1091;LU;2647007.801;1226056.245;de
Mauensee;6216;0;Mauensee;1091;LU;2647644.246;1224276.803;de
Hellbühl;6016;0;Neuenkirch;1093;LU;2657591.685;1213513.515;de
Sempach Station;6203;0;Neuenkirch;1093;LU;2657252.998;1218456.489;de
Neuenkirch;6206;0;Neuenkirch;1093;LU;2658070.340;1216832.428;de
Nottwil;6207;0;Nottwil;1094;LU;2652742.229;1220609.866;de
Oberkirch LU;6208;0;Oberkirch;1095;LU;2651314.095;1223282.243;de
Pfeffikon LU;5735;0;Rickenbach (LU);1097;LU;2655942.582;1233470.102;de
Rickenbach LU;6221;0;Rickenbach (LU);1097;LU;2654105.837;1230125.202;de
Ruswil;6017;0;Ruswil;1098;LU;2652245.448;1215129.329;de
Sigigen;6019;0;Ruswil;1098;LU;2652910.313;1212714.742;de
Schenkon;6214;0;Schenkon;1099;LU;2652831.411;1224933.629;de
Schlierbach;6231;0;Schlierbach;1100;LU;2650844.520;1230781.270;de
Sempach;6204;0;Sempach;1102;LU;2657689.968;1220504.958;de
Sursee;6210;0;Sursee;1103;LU;2650852.389;1224923.925;de
Triengen;6234;0;Triengen;1104;LU;2648365.527;1231657.907;de
Kulmerau;6234;1;Triengen;1104;LU;2649112.053;1233987.298;de
Winikon;6235;0;Triengen;1104;LU;2646239.724;1231996.934;de
Wilihof;6236;0;Triengen;1104;LU;2647361.668;1230453.344;de
Wolhusen;6110;0;Wolhusen;1107;LU;2648329.854;1212275.148;de
Steinhuserberg;6114;0;Wolhusen;1107;LU;2646188.204;1210392.249;de
Alberswil;6248;0;Alberswil;1121;LU;2642366.043;1222223.178;de
Altbüron;6147;0;Altbüron;1122;LU;2633639.478;1225534.830;de
Ebersecken;6245;0;Altishofen;1123;LU;2637462.613;1225858.720;de
Altishofen;6246;0;Altishofen;1123;LU;2639531.553;1227980.583;de
Buchs LU;6211;1;Dagmersellen;1125;LU;2645348.823;1227945.823;de
Dagmersellen;6252;0;Dagmersellen;1125;LU;2641792.914;1229396.370;de
Uffikon;6253;0;Dagmersellen;1125;LU;2643911.279;1229097.395;de
Egolzwil;6243;0;Egolzwil;1127;LU;2643030.132;1226212.265;de
Kottwil;6217;0;Ettiswil;1128;LU;2645985.871;1223711.565;de
Ettiswil;6218;0;Ettiswil;1128;LU;2643677.063;1222111.334;de
Fischbach LU;6145;0;Fischbach;1129;LU;2635583.638;1222897.793;de
Grossdietwil;6146;0;Grossdietwil;1131;LU;2634112.716;1224606.375;de
Hergiswil b. Willisau;6133;0;Hergiswil bei Willisau;1132;LU;2639527.755;1215118.338;de
Hofstatt;6154;0;Luthern;1135;LU;2636178.081;1214969.039;de
Luthern;6156;0;Luthern;1135;LU;2636297.597;1212119.767;de
Luthern Bad;6156;2;Luthern;1135;LU;2637134.761;1208682.760;de
