LOC:INFO;LOC:NAME;LOC:CANTON;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;NS1:PLACEOFORIGINID;NS1:SUCCESSORID;NS1:HISTORYMUNICIPALITYID;NS1:VALIDFROM;NS1:VALIDTO;COMMENT;EDITOR
MANUAL;Grandvaux;VD;Bourg-en-Lavaux;VD;5613;;15493;01.07.2011;;grösste Gemeinde;
MANUAL;Lodrino;TI;Riviera;TI;5287;;16079;02.04.2017;;grösste Gemeinde;
MANUAL;Fontaines NE;NE;Fontaines (Val-de-Ruz);NE;7934;;;01.01.2013;;;
MANUAL;Athenaz (Avusy);GE;Avusy;GE;6604;;11665;;;;
MANUAL;Lützelflüh-Goldbach;BE;Lützelflüh;BE;955;;15350;;;grösste Gemeinde;
MANUAL;Arosio;TI;Alto Malcantone;TI;5237;;14519;14.03.2005;;grösste Gemeinde;
MANUAL;Buttes;NE;Buttes (Val-de-Travers);NE;7949;;;01.01.2013;;;
MANUAL;Marin-Epagnier;NE;Marin-Epagnier (La Tène);NE;7941;;;01.01.2013;;;
MANUAL;Schwanden b. Brienz;BE;Schwanden bei Brienz;BE;592;;15164;;;;
MANUAL;Zimmerwald;BE;Wald;BE;888;;15310;01.01.2004;;grösste Gemeinde;
MANUAL;Villargiroud;FR;Villorsonnens;FR;2114;;14137;;;grösste Gemeinde;
MANUAL;Asuel;JU;Asuel (La Baroche);JU;7103;;;01.03.2016;;;
MANUAL;Savognin;GR;Surses;GR;3543;;16068;01.01.2016;;grösste Gemeinde;
MANUAL;Cugnasco;TI;Cugnasco-Gerra;TI;5138;;16587;20.04.2008;;grösste Gemeinde;
MANUAL;Prêles;BE;Plateau de Diesse;BE;726;;15636;01.01.2014;;grösste Gemeinde;
MANUAL;Lussery-Villars;VD;Lussery-Villars (Villars-Lussery);VD;7021;;;01.01.2016;;;
MANUAL;Châtel-St-Denis;FR;Châtel-Saint-Denis;FR;2325;;11426;;;;
MANUAL;Biel/Bienne;BE;Madretsch;BE;7852;;;;;"""Madretsch, früher Mardrez, ist eine ehemalige Gemeinde des Kantons Bern in der Schweiz. Sie wurde 1920 in die Stadt Biel (BE) eingemeindet und ist heute Teil von Biel/Bienne.""";
MANUAL;Splügen;GR;Rheinwald;GR;3714;;16125;01.01.2019;;grösste Gemeinde;
MANUAL;Davos Wiesen;GR;Davos (Wiesen);GR;7349;;;01.01.2018;;;
MANUAL;Wettswil;ZH;Wettswil am Albis;ZH;14;;13255;01.01.1976;;;
